T, HRS, LRS, cba1_sd, cba2_sd, test_acc2
0.6, 17000, 500, 0.2794569370195163, 0.0713048854978031, 0.8183000087738037
0.65, 17000, 500, 0.302745015104476, 0.07724695928928672, 0.8169000148773193
0.7, 17000, 500, 0.3260330931894357, 0.0831890330807703, 0.8083999752998352
0.75, 17000, 500, 0.34932117127439544, 0.0891311068722539, 0.7996000051498413
0.8, 17000, 500, 0.3726092493593551, 0.09507318066373749, 0.7936000227928162
0.85, 17000, 500, 0.39589732744431483, 0.10101525445522107, 0.7824000120162964
0.9, 17000, 500, 0.41918540552927447, 0.10695732824670469, 0.7788000106811523
0.95, 17000, 500, 0.44247348361423416, 0.11289940203818827, 0.7791000008583069
0.0, 18000, 500, 0.0, 0.0, 0.8582000136375427
0.05, 18000, 500, 0.021994295969128604, 0.005611958580845616, 0.8522999882698059
0.1, 18000, 500, 0.04398859193825721, 0.011223917161691232, 0.8510000109672546
0.15, 18000, 500, 0.0659828879073858, 0.016835875742536845, 0.8511999845504761
